GLOVE 100, POS 10, HIDDEN 128, LAYERS 2: BEST VALID F1: 64.449% AT EPOCH 34, TRAINED FOR 40 EPOCHS
GLOVE 100, POS 10, HIDDEN 128, LAYERS 3: BEST VALID F1: 66.843% AT EPOCH 32, TRAINED FOR 37 EPOCHS
GLOVE 100, POS 10, HIDDEN 256, LAYERS 2: BEST VALID F1: 65.867% AT EPOCH 29, TRAINED FOR 31 EPOCHS
GLOVE 100, POS 10, HIDDEN 256, LAYERS 3: BEST VALID F1: 66.226% AT EPOCH 19, TRAINED FOR 37 EPOCHS
GLOVE 100, POS 25, HIDDEN 128, LAYERS 2: BEST VALID F1: 65.613% AT EPOCH 38, TRAINED FOR 40 EPOCHS
GLOVE 100, POS 25, HIDDEN 128, LAYERS 3: BEST VALID F1: 65.758% AT EPOCH 40, TRAINED FOR 43 EPOCHS
GLOVE 100, POS 25, HIDDEN 256, LAYERS 2: BEST VALID F1: 65.045% AT EPOCH 33, TRAINED FOR 37 EPOCHS
GLOVE 100, POS 25, HIDDEN 256, LAYERS 3: BEST VALID F1: 66.063% AT EPOCH 22, TRAINED FOR 36 EPOCHS
GLOVE 100, POS 50, HIDDEN 128, LAYERS 2: BEST VALID F1: 65.448% AT EPOCH 34, TRAINED FOR 39 EPOCHS
GLOVE 100, POS 50, HIDDEN 128, LAYERS 3: BEST VALID F1: 65.165% AT EPOCH 28, TRAINED FOR 34 EPOCHS
GLOVE 100, POS 50, HIDDEN 256, LAYERS 2: BEST VALID F1: 64.844% AT EPOCH 20, TRAINED FOR 35 EPOCHS
GLOVE 100, POS 50, HIDDEN 256, LAYERS 3: BEST VALID F1: 65.501% AT EPOCH 15, TRAINED FOR 33 EPOCHS
GLOVE 100, POS 100, HIDDEN 128, LAYERS 2: BEST VALID F1: 64.443% AT EPOCH 17, TRAINED FOR 32 EPOCHS
GLOVE 100, POS 100, HIDDEN 128, LAYERS 3: BEST VALID F1: 65.610% AT EPOCH 22, TRAINED FOR 36 EPOCHS
GLOVE 100, POS 100, HIDDEN 256, LAYERS 2: BEST VALID F1: 64.216% AT EPOCH 20, TRAINED FOR 28 EPOCHS
GLOVE 100, POS 100, HIDDEN 256, LAYERS 3: BEST VALID F1: 65.102% AT EPOCH 16, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2: BEST VALID F1: 66.350% AT EPOCH 30, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 3: BEST VALID F1: 66.960% AT EPOCH 26, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 2: BEST VALID F1: 65.652% AT EPOCH 33, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3: BEST VALID F1: 66.411% AT EPOCH 35, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2: BEST VALID F1: 66.771% AT EPOCH 33, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3: BEST VALID F1: 66.831% AT EPOCH 27, TRAINED FOR 33 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2: BEST VALID F1: 66.311% AT EPOCH 26, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3: BEST VALID F1: 67.305% AT EPOCH 37, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2: BEST VALID F1: 65.381% AT EPOCH 36, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 3: BEST VALID F1: 66.373% AT EPOCH 26, TRAINED FOR 34 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 2: BEST VALID F1: 66.393% AT EPOCH 14, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 50, HIDDEN 256, LAYERS 3: BEST VALID F1: 66.938% AT EPOCH 23, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 100, HIDDEN 128, LAYERS 2: BEST VALID F1: 66.089% AT EPOCH 28, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 100, HIDDEN 128, LAYERS 3: BEST VALID F1: 66.772% AT EPOCH 31, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 100, HIDDEN 256, LAYERS 2: BEST VALID F1: 66.759% AT EPOCH 21, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 100, HIDDEN 256, LAYERS 3: BEST VALID F1: 67.302% AT EPOCH 28, TRAINED FOR 36 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 2: BEST VALID F1: 66.231% AT EPOCH 37, TRAINED FOR 42 EPOCHS
GLOVE 300, POS 10, HIDDEN 128, LAYERS 3: BEST VALID F1: 66.715% AT EPOCH 23, TRAINED FOR 33 EPOCHS
GLOVE 300, POS 10, HIDDEN 256, LAYERS 2: BEST VALID F1: 68.903% AT EPOCH 39, TRAINED FOR 40 EPOCHS
GLOVE 300, POS 10, HIDDEN 256, LAYERS 3: BEST VALID F1: 67.934% AT EPOCH 35, TRAINED FOR 45 EPOCHS
GLOVE 300, POS 25, HIDDEN 128, LAYERS 2: BEST VALID F1: 68.125% AT EPOCH 30, TRAINED FOR 39 EPOCHS
GLOVE 300, POS 25, HIDDEN 128, LAYERS 3: BEST VALID F1: 68.407% AT EPOCH 35, TRAINED FOR 36 EPOCHS
GLOVE 300, POS 25, HIDDEN 256, LAYERS 2: BEST VALID F1: 67.576% AT EPOCH 21, TRAINED FOR 41 EPOCHS
GLOVE 300, POS 25, HIDDEN 256, LAYERS 3: BEST VALID F1: 67.850% AT EPOCH 25, TRAINED FOR 39 EPOCHS
GLOVE 300, POS 50, HIDDEN 128, LAYERS 2: BEST VALID F1: 66.649% AT EPOCH 29, TRAINED FOR 42 EPOCHS
GLOVE 300, POS 50, HIDDEN 128, LAYERS 3: BEST VALID F1: 67.519% AT EPOCH 31, TRAINED FOR 35 EPOCHS
GLOVE 300, POS 50, HIDDEN 256, LAYERS 2: BEST VALID F1: 66.350% AT EPOCH 31, TRAINED FOR 33 EPOCHS
