GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 0: BEST VALID F1: 58.503% AT EPOCH 39, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-06: BEST VALID F1: 60.547% AT EPOCH 49, TRAINED FOR 50 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-05: BEST VALID F1: 61.026% AT EPOCH 47, TRAINED FOR 50 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 0: BEST VALID F1: 65.638% AT EPOCH 40, TRAINED FOR 41 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-06: BEST VALID F1: 65.812% AT EPOCH 32, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-05: BEST VALID F1: 66.831% AT EPOCH 42, TRAINED FOR 43 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 0: BEST VALID F1: 66.111% AT EPOCH 36, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-06: BEST VALID F1: 67.123% AT EPOCH 38, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.124% AT EPOCH 37, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 0: BEST VALID F1: 63.555% AT EPOCH 26, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-06: BEST VALID F1: 64.382% AT EPOCH 34, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 10, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-05: BEST VALID F1: 65.267% AT EPOCH 30, TRAINED FOR 31 EPOCHS
